exp,desc,hparams,best_epoch,train_acc,valid_acc,gap,valid_macro_f1,valid_minor_recall,recall_Center,recall_Donut,recall_Edge-Loc,recall_Edge-Ring,recall_Loc,recall_Near-full,recall_Random,recall_Scratch,recall_none
1,Baseline,"epochs=30, lr=1e-3, ES 없음",28,0.9901,0.8406,14.95,0.7851,0.8783,0.9453,0.8288,0.7958,0.9804,0.6630,0.9333,0.8728,0.2134,0.7970
2,+Early Stopping,patience=5,7,0.9149,0.8398,7.51,0.7914,0.9340,0.9278,0.9279,0.7909,0.9881,0.7006,0.9667,0.9075,0.3096,0.7290
3,+Class Weight,balanced,9,0.9033,0.8137,8.96,0.7639,0.8686,0.9418,0.8198,0.7900,0.9385,0.5738,1.0000,0.7861,0.2552,0.7910
4,+Dropout,p=0.4,21,0.8689,0.8182,5.08,0.7623,0.8898,0.9034,0.8198,0.7736,0.9716,0.6657,1.0000,0.8497,0.2594,0.7260
5,+Weight Decay,wd=1e-4,17,0.7654,0.7987,-3.33,0.7529,0.9359,0.8999,0.8829,0.7803,0.9514,0.5738,1.0000,0.9249,0.3598,0.6640
6,Baseline + ES (트랙B 기준점),patience=10,28,0.9954,0.8355,15.98,0.7835,0.8985,0.9523,0.9009,0.7611,0.9716,0.7214,0.9333,0.8613,0.1967,0.7690
7,+ImprovedCNN(GAP+BN),"ch=32/64/128/128, RF=46px",10,0.9512,0.7883,16.29,0.7886,0.8973,0.9534,0.8018,0.5443,0.8027,0.7396,1.0000,0.8902,0.5690,0.9340
8,+LR Scheduler,"ReduceLROnPlateau(max,0.5,p=4)",19,0.9987,0.8812,11.75,0.8606,0.9258,0.9639,0.8468,0.8776,0.9757,0.6518,1.0000,0.9306,0.6611,0.8400
9,+Dropout,p=0.3,20,0.9756,0.8719,10.38,0.8526,0.8967,0.9220,0.8288,0.8834,0.9948,0.6866,1.0000,0.8613,0.7950,0.7330
10,+Weight Decay,wd=1e-5,18,0.9752,0.8802,9.49,0.8550,0.9430,0.9651,0.9099,0.7514,0.9830,0.7758,1.0000,0.9191,0.6946,0.8480
11,+LeakyReLU,negative_slope=0.01,14,0.9530,0.8812,7.18,0.8527,0.8796,0.9732,0.7748,0.8218,0.9659,0.7869,0.9333,0.9306,0.5439,0.8500
12,+Augmentation,"rot90/flip, act=leakyrelu",52,0.9324,0.9196,1.29,0.9003,0.9438,0.9627,0.9009,0.8719,0.9892,0.8733,1.0000,0.9306,0.8243,0.8510
